# Sensor Strada Pirotehniei, Bucharest, Romania (uRad Monitor/140000b7)
# https://aqicn.org/station/@366811/
# Daily pm1
date,min,max,median,q1,q3,stdev,count
2023-03-31T00:00:00.000Z,2,6,4,3,4.5,1.15,69
2023-04-01T00:00:00.000Z,3,4,4,4,4,0.403,93
2023-04-02T00:00:00.000Z,0,86,3,1,28.5,20.179,128
2023-04-03T00:00:00.000Z,1,5,4,1,4,1.537,94
2023-04-04T00:00:00.000Z,0,4,1,1,1.5,1.123,88
2023-04-05T00:00:00.000Z,0,8,4,0,6,2.752,92
2023-04-06T00:00:00.000Z,3,8,4,4,6,1.628,94
2023-04-07T00:00:00.000Z,3,5,4,4,5,0.726,89
2023-04-08T00:00:00.000Z,4,484,36,6,126,114.521,149
2023-04-09T00:00:00.000Z,9,21,13,10,19,4.061,93
2023-04-10T00:00:00.000Z,5,17,9,7,13,3.931,94
2023-04-11T00:00:00.000Z,3,7,5,4,5,1.041,87
2023-04-12T00:00:00.000Z,1,7,3,2,3,1.207,90
2023-04-13T00:00:00.000Z,1,4,2,2,4,1.102,93
2023-04-14T00:00:00.000Z,1,2,2,1,2,0.473,92
2023-04-15T00:00:00.000Z,0,2,0,0,1,0.63,93
2023-04-16T00:00:00.000Z,0,2,1,1,1,0.439,93
2023-04-17T00:00:00.000Z,1,3,2,2,3,0.519,89
2023-04-18T00:00:00.000Z,0,2,1,1,1,0.32,96
2023-04-19T00:00:00.000Z,0,7,4,1,5,2.077,96
2023-04-20T00:00:00.000Z,0,11,5,3,6,2.983,94
2023-04-21T00:00:00.000Z,0,7,4,4,5,2.112,97
2023-04-22T00:00:00.000Z,2,5,3,3,4,0.625,90
2023-04-23T00:00:00.000Z,4,5,4,4,4,0.322,85
2023-04-24T00:00:00.000Z,3,7,4,4,5,0.906,95
2023-04-25T00:00:00.000Z,1,9,4,2,5,2.591,95
2023-04-26T00:00:00.000Z,2,14,4,2,4,3.577,97
2023-04-27T00:00:00.000Z,1,3,2,2,3,0.723,95
2023-04-28T00:00:00.000Z,0,4,2,1,3,1.178,95
2023-04-29T00:00:00.000Z,1,5,2,2,3,0.947,92
2023-04-30T00:00:00.000Z,1,8,3,2,5,2.21,93
2023-05-01T00:00:00.000Z,1,3,2,1,2,0.797,95
2023-05-02T00:00:00.000Z,0,4,2,1,3,1.158,93
2023-05-03T00:00:00.000Z,0,8,2,1,3,2.379,92
2023-05-04T00:00:00.000Z,0,6,1.5,1,2,1.623,56
2023-05-05T00:00:00.000Z,3,6,4,3,5,0.862,36
2023-05-06T00:00:00.000Z,1,4,2,1,3,1.156,94
